DATE,TIME,VOLTAGE,CURRENT,PF,POWER (KW),"""WEEKEND/WEEKDAY""",SEASON,Temp (F),Humidity (%),Substation Shutdown,F1,F2,F3,F4,Jul-Oct-,Rainy,0
2021-01-01,01-00,11.6,102,0.96,1967.3880148948756,0,1,65,90,,,,,,Nov-Feb,Winter,1.0
,02-00,11.6,102,0.96,1967.3880148948756,0,1,65,90,,,,,,Mar-Jun,Summer,2.0
,03-00,11.6,102,0.96,1967.3880148948756,0,1,65,90,,,,,,,,
,04-00,11.3,130,0.96,2442.6073308659334,0,1,78,49,,,,,,Weekend,1,
,05-00,11.2,148,0.96,2756.205521881124,0,1,78,49,,,,,,Weekday,0,
,06-00,11.2,172,0.96,3203.1577686726573,0,1,78,49,,,,,,Missing Values,66,
,07-00,11.5,218,0.96,4168.561319592168,0,1,83,34,,,,,,,,
,08-00,11.2,274,0.96,5102.704817536675,0,1,83,34,,,,,,,,
,09-00,11.2,280,0.96,5214.442879234559,0,1,83,34,,,,,,,,
,10-00,11.5,254,0.96,4856.947592552343,0,1,81,42,,,,,,,,
,11-00,11.5,254,0.96,4856.947592552343,0,1,81,42,,,,,,,,
,12-00,11.5,243,0.96,4646.607342481178,0,1,81,42,,,,,,,,
,13-00,11.6,231,0.96,4455.555210203101,0,1,71,42,,,,,,,,
,14-00,11.8,214,0.96,4198.823711302011,0,1,71,87,,,,,,,,
,15-00,11.8,205,0.96,4022.2376673687495,0,1,71,87,,,,,,,,
,16-00,11.7,215,0.96,4182.694854181929,0,1,67,87,,,,,,,,
,17-00,11.5,194,0.96,3709.637137618718,0,1,67,87,,,,,,,,
,18-00,11.7,44,0.96,855.9933655069996,0,1,67,87,,,,,,,,
,19-00,11.8,42,0.96,824.0682050218901,0,1,66,88,,,,,,,,
,20-00,11.8,39,0.96,765.2061903774694,0,1,66,88,,,,,,,,
,21-00,11.8,30,0.96,588.6201464442073,0,1,66,88,,,,,,,,
,22-00,11.8,25,0.96,490.516788703506,0,1,62,89,,,,,,,,
,23-00,11.8,22,0.96,431.6547740590853,0,1,62,89,,,,,,,,
