feature,statistic,raw_original,after_imputation,after_dropping
load_kw,mean,2129.986,2128.921,2136.218
load_kw,std,1302.278,1299.86,1298.243
load_kw,min,412.034,412.034,412.034
load_kw,q25,1062.656,1062.656,1063.304
load_kw,median,1683.688,1683.688,1695.369
load_kw,q75,3025.769,3025.769,3044.902
load_kw,max,6306.206,5960.834,5960.834
load_kw,skew,0.89,0.883,0.869
temperature_c,mean,27.325,27.316,27.303
temperature_c,std,4.934,4.729,4.513
temperature_c,min,10.0,16.111,16.111
temperature_c,q25,24.444,24.444,25.0
temperature_c,median,27.222,27.222,27.222
temperature_c,q75,30.0,30.0,30.0
temperature_c,max,42.222,38.333,38.333
temperature_c,skew,-0.041,-0.048,-0.036
humidity_pct,mean,67.727,67.726,68.067
humidity_pct,std,20.685,20.683,20.233
humidity_pct,min,14.0,14.0,14.0
humidity_pct,q25,52.0,52.0,53.0
humidity_pct,median,72.0,72.0,72.0
humidity_pct,q75,87.0,87.0,87.0
humidity_pct,max,102.0,100.0,100.0
humidity_pct,skew,-0.55,-0.551,-0.545
