timestamp,feature,value,normal_range,type
2021-01-15 21:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-01-15 22:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-01-15 23:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-01 21:00:00,temperature_c,13.89,16.11 to 38.33 °C,Winter Cold Snap
2021-02-01 22:00:00,temperature_c,13.89,16.11 to 38.33 °C,Winter Cold Snap
2021-02-01 23:00:00,temperature_c,13.89,16.11 to 38.33 °C,Winter Cold Snap
2021-02-02 21:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-02-02 22:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-02-02 23:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-02-03 18:00:00,temperature_c,13.89,16.11 to 38.33 °C,Winter Cold Snap
2021-02-03 19:00:00,temperature_c,13.89,16.11 to 38.33 °C,Winter Cold Snap
2021-02-03 20:00:00,temperature_c,13.89,16.11 to 38.33 °C,Winter Cold Snap
2021-02-03 21:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-02-03 22:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-02-03 23:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-02-04 18:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-04 19:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-04 20:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-04 21:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-02-04 22:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-02-04 23:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-02-07 21:00:00,temperature_c,13.33,16.11 to 38.33 °C,Winter Cold Snap
2021-02-07 22:00:00,temperature_c,13.33,16.11 to 38.33 °C,Winter Cold Snap
2021-02-07 23:00:00,temperature_c,13.33,16.11 to 38.33 °C,Winter Cold Snap
2021-02-08 00:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-08 01:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-08 02:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-08 18:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-08 19:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-08 20:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-08 21:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-02-08 22:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-02-08 23:00:00,temperature_c,12.78,16.11 to 38.33 °C,Winter Cold Snap
2021-02-09 18:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-09 19:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-09 20:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-09 21:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-02-09 22:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-02-09 23:00:00,temperature_c,15.0,16.11 to 38.33 °C,Winter Cold Snap
2021-02-10 18:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-10 19:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-10 20:00:00,temperature_c,15.56,16.11 to 38.33 °C,Winter Cold Snap
2021-02-10 21:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-02-10 22:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-02-10 23:00:00,temperature_c,14.44,16.11 to 38.33 °C,Winter Cold Snap
2021-03-02 15:00:00,load_kw,6089.72,0.00 to 5970.44 kW,Extreme Peak Load Surge
2021-03-27 06:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-27 07:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-27 08:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-28 06:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-28 07:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-28 08:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-29 06:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-29 07:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-29 08:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-30 06:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-30 07:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-30 08:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-30 09:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-30 10:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-30 11:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-31 06:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-31 07:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-31 08:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-31 09:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-31 10:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-03-31 11:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-01 06:00:00,temperature_c,40.56,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-01 07:00:00,temperature_c,40.56,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-01 08:00:00,temperature_c,40.56,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-01 09:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-01 10:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-01 11:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-02 06:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-02 07:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-02 08:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-03 06:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-03 07:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-03 08:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-18 06:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-18 07:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-18 08:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-19 06:00:00,temperature_c,41.67,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-19 07:00:00,temperature_c,41.67,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-19 08:00:00,temperature_c,41.67,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-20 06:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-20 07:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-20 08:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-20 09:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-20 10:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-20 11:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-21 06:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-21 07:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-21 08:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-23 06:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-23 07:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-23 08:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-24 06:00:00,temperature_c,40.56,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-24 07:00:00,temperature_c,40.56,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-24 08:00:00,temperature_c,40.56,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-25 06:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-25 07:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-25 08:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-25 09:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-25 10:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-25 11:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-26 06:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-26 07:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-26 08:00:00,temperature_c,39.44,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-27 06:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-27 07:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-27 08:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-28 06:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-28 07:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-28 08:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-28 09:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-28 10:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-28 11:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-29 06:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-29 07:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-29 08:00:00,temperature_c,41.11,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-29 09:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-29 10:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-29 11:00:00,temperature_c,38.89,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-30 06:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-30 07:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-30 08:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-30 09:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-30 10:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-04-30 11:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-04 06:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-04 07:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-04 08:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-06 06:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-06 07:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-06 08:00:00,temperature_c,40.0,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-07 06:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-07 07:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-07 08:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-08 06:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
2021-05-08 07:00:00,temperature_c,38.33,16.11 to 38.33 °C,Summer Heatwave Extreme
