feature,importance
lag_1h,0.5885128745398254
lag_24h,0.31647392482265335
hour_sin,0.03407036681731874
lag_168h,0.027540821545331502
rolling_mean_24h,0.009137025202309346
hour_cos,0.004774014094372551
rolling_std_24h,0.0043645292596391
rolling_mean_168h,0.004236530490955565
humidity_pct,0.003506617840030953
temperature_c,0.0026051241984033128
month_cos,0.0018758031685315298
month_sin,0.0010731398847946387
dow_sin,0.0009301258336694059
dow_cos,0.00043572470838436095
season_code,0.0003783326145989977
is_weekend,8.504497918122122e-05
